,region_id,region_type_id,region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,percent_homes_sold_above_list,percent_homes_sold_above_list_yoy,price_drop_percent_of_old_list_price,price_drop_percent_of_old_list_price_yoy,last_updated,average_adjustment_average_homes_delisted,adjusted_average_homes_delisted,average_adjustment_average_homes_sold,adjusted_average_homes_sold,average_adjustment_average_new_listings,adjusted_average_new_listings,average_adjustment_pending_sales,adjusted_pending_sales,adjusted_average_homes_delisted_yoy,adjusted_average_homes_sold_yoy,adjusted_average_new_listings_yoy,adjusted_pending_sales_yoy
317124,47664,-2,"Warren, MI metro area",metro,2022-02-07,2022-03-06,4 weeks,2511.0,-0.0630597014925373,627.0,-0.0641791044776119,466.0,-0.1386321626617375,116.0,-0.1407407407407407,0.1885577468388222,-0.0138044427705374,254225.0,0.0934408602150538,173.11236508278512,0.1393136651958912,28.5,-2.7,104.0,-0.063063063063063,0.0296906721639853,0.000709850565284,604.0,0.0202702702702701,1478.5,-0.0208609271523179,416.0,0.0833333333333332,318.0,0.0890410958904108,0.6889939772275485,0.0417349833821082,0.5271146529795809,0.0351858597391736,2841.0,0.0338427947598254,710.0,0.0334788937409025,284250.0,0.1017663921908504,180.51882278872412,0.1155072939755417,2782.0,-0.0961663417803768,14077.0,-0.0804755372656607,3519.0,-0.0804807943558923,35.2,-4.5,75.0,0.1029411764705883,0.0212687504018577,0.0033630787533485,305747.5,0.0617154266863442,184.8667425518512,0.0957879182629373,276933.333,-0.0464549091848154,282583.333,-0.0445195841081995,1.01863704874905,-0.004901531315542,1.0017261855143564,0.0100209310366006,14.0,-2.1,0.9751512051912354,0.0859371090488471,5.701454995170777,-0.0638819532376775,862.0,-0.0800426894343649,0.1502516175413371,0.0060021048707718,0.4522466557630736,0.0776881446881946,0.0486570932290721,0.0021716123923653,2022-03-23 17:53:25,0.8896504046528123,66.72378034896093,1.0137563789059791,635.6252495740489,1.005033083876024,713.573489551977,1.0102171181733857,610.1711393767249,-0.0187679360446921,-0.0513055976506733,0.0386804796972008,0.0306944921904137
325125,24660,-2,"Greensboro, NC metro area",metro,2022-02-14,2022-03-13,4 weeks,798.0,-0.1501597444089456,199.0,-0.1495726495726496,95.0,-0.2692307692307692,23.0,-0.28125,0.1191095250299427,-0.0207047280317424,235625.0,0.2056438201959731,143.61142247811577,0.1940118986405736,17.0,0.2,27.0,-0.0689655172413793,0.0297887511311161,0.0124625030133271,110.0,-0.4086021505376343,1590.2,-0.0524935947089315,39.0,-0.1521739130434782,26.0,-0.0714285714285713,0.3527943852749346,0.1012600113722523,0.2378463316261029,0.0802290865988377,509.0,-0.4025821596244131,127.0,-0.4037558685446009,220600.0,0.0889863787846101,143.36250281004763,0.1725778870316436,767.0,-0.4799999999999999,3641.0,-0.4692419825072886,910.0,-0.4693877551020407,54.8,14.8,10.0,-0.1666666666666666,0.0110276355306775,0.0040302048740619,201225.0,-0.0133548289349233,147.78580639960495,0.2027909229767503,355030.0,-0.3626604434072345,362589.5,-0.3407463636363636,1.028852255157243,0.0271378428740651,1.0145262114877958,0.0234877618332013,22.1,-6.4,0.5605901365795981,-0.2560285757792096,4.580343113159616,-2.9456503724450207,367.0,-0.1113801452784504,0.1421121251629726,0.0614341590612776,0.5737102729626679,0.1342163479588383,0.0605034462338095,-0.0039614368926607,2022-03-23 17:53:25,0.922050518925519,9.22050518925519,1.018227401614646,202.62725292131452,0.8889710893805683,112.8993283513322,1.5355843049230022,168.91427354153024,-0.2316245675620675,-0.1340715687123309,-0.469956204923323,-0.0918587444003751
325236,24660,-2,"Greensboro, NC metro area",metro,2022-02-21,2022-03-20,4 weeks,819.0,-0.1378947368421052,204.0,-0.1392405063291138,96.0,-0.25,24.0,-0.25,0.1173174103346023,-0.0177140607422283,237500.0,0.1870696872383761,144.5887758316748,0.2176138779264469,16.2,0.0,26.0,-0.037037037037037,0.0289575851551002,0.0129179054605265,80.0,-0.5628415300546447,1659.2,-0.0234255444379046,28.0,-0.4509803921568627,20.0,-0.375,0.3460009070140651,0.0645529034505443,0.2435830466019484,0.0629380998683423,588.0,-0.3636363636363636,147.0,-0.3636363636363636,223087.5,0.0924282303972576,145.10161531652722,0.1896213250803571,804.0,-0.4519427402862985,3649.0,-0.4633823529411764,912.0,-0.4635294117647058,45.8,7.1,11.0,0.0,0.0122746437479691,0.0053638897739923,202462.5,-0.0193084286798609,149.1297530959379,0.2108377353869883,381225.0,-0.1310444327587867,388125.0,-0.094294492139308,1.02694089221577,0.0237678719127687,1.0173892749088451,0.024087496153238,22.8,-5.2,0.3948195272606017,-0.3878499736878545,4.456648240166006,-2.8528176020975167,365.0,-0.1350710900473933,0.1318407960199005,0.0575395008597096,0.5897419076829423,0.140967108113264,0.0661920899388272,-0.0003164867646581,2022-03-23 17:53:25,0.8575150610839986,9.432665671923983,1.0495405626547258,214.10627478156408,0.7931323722798608,116.59045872513956,2.2515364683933345,180.12291747146676,-0.1424849389160013,-0.0965979967022612,-0.4952793994582703,-0.0157217624510013
339629,43060,-2,"Shawnee, OK metro area",metro,2022-02-21,2022-03-20,4 weeks,83.0,0.1690140845070422,20.0,0.1764705882352941,25.0,0.6666666666666667,6.0,1.0,0.3044444444444444,0.0960434704184703,173662.3,0.0022681455976332,113.9047129201595,0.2214081635920801,43.3,5.6,4.0,0.3333333333333332,0.0387700777691616,0.0045654411574504,16.0,0.1428571428571427,1549.6,-0.1148683383789341,9.0,-0.1818181818181817,7.0,-0.3,0.5759469696969696,-0.2081800144300144,0.4590719696969696,-0.2333883477633477,95.0,0.0106382978723404,23.0,0.0,181862.5,-0.0934072781655035,119.07443148843896,0.1398506255407214,96.0,0.1428571428571427,478.0,0.1573849878934625,119.0,0.1553398058252426,44.0,10.7,2.0,1.0,0.0213016409897445,0.0083253719997298,193712.5,-0.0657447540154225,115.13116152029151,0.0542759439227669,275000.0,-0.0176817288801571,270000.0,-0.032258064516129,0.9827586206896552,-0.0361362180419337,0.9717749194342108,-0.0098393019728113,36.2,22.9,0.8347222222222223,-0.0786300505050504,5.871666666666665,-0.6350297619047626,23.0,0.0952380952380953,0.1979166666666666,0.03125,0.2708333333333333,-0.032129329004329,0.0876450087633503,0.026548561290895,2022-03-23 17:53:25,0.8484848484848484,1.6969696969696968,1.0665797586252133,21.331595172504265,1.0115440115440115,23.265512265512264,0.935785048285048,14.972560772560772,0.6969696969696967,0.2547997160296626,0.0115440115440115,0.0694686266114836
412906,19804,-2,"Detroit, MI metro area",metro,2022-02-21,2022-03-20,4 weeks,1379.0,-0.1466584158415841,344.0,-0.1485148514851485,240.0,-0.2207792207792207,60.0,-0.2207792207792207,0.1725897326806036,-0.0180975573208988,172250.0,0.0731244774553523,137.34277989993527,0.0779015540575056,28.0,-3.7,133.0,0.705128205128205,0.0409049709859494,0.0138809718729555,378.0,0.1216617210682493,1271.7,-0.0180681028492006,262.0,0.1748878923766816,202.0,0.1744186046511628,0.6921583214845348,0.0316392221159448,0.5338331493244032,0.0232257335011112,2022.0,0.0941558441558441,505.0,0.093073593073593,167437.5,0.0046501162529062,135.311364047341,0.0311659237731978,2748.0,0.1257681278164686,13071.0,0.1314923822714682,3267.0,0.1312326869806095,48.2,-1.0,99.0,0.6499999999999999,0.0302756193402489,0.0093172555772912,126625.0,-0.0948083281208114,102.28589944269766,-0.069133694576824,260100.0,-0.3234490831057355,274625.0,-0.2424137931034482,1.035257314461172,0.0746611303074283,1.0009896534074785,0.0189613979197196,12.6,-5.7,1.1144701357405815,0.2745789914563279,9.558872387068947,2.386569335438347,543.0,-0.0127272727272726,0.1946870451237263,0.0668705764633412,0.4575025872352169,0.1075347497604359,0.0861029703546256,0.0138376618592455,2022-03-23 17:53:25,0.8306035664636777,82.2297530799041,1.073170586958325,369.1706819136638,1.0107197195442386,510.4134583698405,0.9846479819253348,372.19693716777664,0.3704958846650683,-0.0862111833820202,0.1047910354325551,0.1044419500527495
424196,41884,-2,"San Francisco, CA metro area",metro,2022-02-07,2022-03-06,4 weeks,839.0,-0.0870511425462459,209.0,-0.0873362445414846,50.0,-0.7175141242937852,12.0,-0.7272727272727272,0.0626539574310081,-0.1359480918387614,1573750.0,0.1595137226008474,1087.8014429930688,0.1310523378728485,21.1,-1.7,38.0,-0.3333333333333333,0.0241610838488939,-0.0021843892254486,241.0,0.0,1436.1,-0.0936573051435785,176.0,0.2307692307692308,75.0,0.171875,0.7330206587114291,0.1407142700822381,0.3083513335843829,0.0409740344732162,1247.0,-0.09375,311.0,-0.0959302325581394,1400361.0,0.0061871744206933,1009.0367096651984,0.0622144187549038,1303.0,-0.3032085561497326,6377.0,-0.2673483455882352,1594.0,-0.2674632352941176,25.7,-5.0,30.0,0.0714285714285713,0.018929370245458,0.0058235250588907,1373500.0,0.0272999252056844,1001.2847855004452,0.046195833528611,1251472.0,-0.2524034214584134,1377500.0,-0.2644997664019221,1.096141639081721,0.0519375747659098,1.1227947180355002,0.0824758044993101,12.0,-11.1,1.1857511756172712,0.1161923175710053,7.836963347147845,-1.8646510179215188,316.0,-0.1770833333333333,0.1189562547966231,-0.0035036382515051,0.7331085880600181,0.1924983521083164,0.0644744909629707,0.0057342693307831,2022-03-23 17:53:25,0.9706333239580376,29.11899971874113,1.0233744531425153,213.8852607067857,1.0259105552238577,319.05818267461973,1.0599271255855682,255.44243726612197,0.0399642756693261,-0.0660032283546477,-0.072505282922617,0.0599271255855682
424206,35300,-2,"New Haven, CT metro area",metro,2022-01-31,2022-02-27,4 weeks,660.0,-0.0743338008415147,165.0,-0.0730337078651684,156.0,-0.0930232558139535,39.0,-0.0930232558139535,0.2334575421261481,-0.0092516448445967,265507.3,0.0837032653061224,163.76968578259033,0.1300773206118273,19.2,2.7,24.0,-0.25,0.0165173741144329,0.0011475573269365,149.0,0.0567375886524823,1598.2,0.00705734089477,61.0,0.8484848484848484,41.0,0.7826086956521738,0.4082580229131953,0.1722934018512514,0.2758579690067893,0.1141217604790758,770.0,-0.0941176470588235,192.0,-0.0943396226415094,287337.5,0.1085551697530864,175.95690859342764,0.1341749643677694,1266.0,-0.3385579937304075,5928.0,-0.3047149894440535,1482.0,-0.3045518535898639,42.8,-4.7,19.0,-0.2692307692307692,0.0131065455813536,0.0005745163571883,291735.0,0.0797002220577349,174.62771098626126,0.1113904269133967,426633.333,0.0950547561601642,418666.666,0.0874458857142856,0.9965561884511211,0.0034169060869424,1.0032655906428944,0.0125006617795908,58.0,-6.1,0.9207658435674432,0.1196686071873323,9.164969453154974,-3.0008265866336927,312.0,-0.2219451371571072,0.0774091627172195,0.0089661115155477,0.4805537401449284,0.0965265869798907,0.0589341169618587,0.0090821536514046,2022-03-23 17:53:25,0.9935545195089528,18.877535870670105,1.0046478818800249,165.7669005102041,1.0059269262404775,193.13796983817167,1.013922280505845,151.07441979537091,-0.2739409280511497,-0.0687252780325612,-0.0889718403859827,0.0714497857827725
453194,42340,-2,"Savannah, GA metro area",metro,2022-01-31,2022-02-27,4 weeks,585.0,-0.1068702290076335,146.0,-0.1042944785276073,63.0,-0.5714285714285714,15.0,-0.5833333333333331,0.1085577908829131,-0.1123770871522184,298541.5,0.1890530717912974,155.72355186730866,0.1989750777829613,2.2,2.0,16.0,-0.4838709677419355,0.0140707752150034,-0.0024453692502742,131.0,0.0,1836.7,0.020275524941673,49.0,0.6896551724137931,32.0,0.7777777777777776,0.3801324761454157,0.1597854086467264,0.2432071700238518,0.1080820377221579,720.0,-0.0513833992094862,180.0,-0.0476190476190476,316412.5,0.2151017665130567,165.4104962610687,0.177449350869856,980.0,-0.4258933801991798,4606.0,-0.3971993194608035,1151.0,-0.3973821989528796,27.5,-21.7,14.0,0.1666666666666667,0.012178955552236,0.0057822720139737,332775.0,0.1777936653441447,166.67222027685122,0.1981307587864586,363750.0,0.2458258412535319,370000.0,0.256900212314225,1.0175334015523032,0.0122093043753466,1.0048309921313172,0.016508534714221,34.7,-31.3,0.8980386181092793,0.065988303495219,7.905331833448785,-4.509711334526934,233.0,0.2944444444444445,0.0663265306122449,-0.0074871776478605,0.4630165238570446,0.215477310498208,0.0519800031567003,0.0116134739634639,2022-03-23 17:53:25,0.903987038798084,12.655818543173178,1.0008530002195966,146.1245380320611,1.0034133241395833,180.61439834512493,1.0310379276270505,135.06596851914358,0.0546515452644313,-0.1035304415210974,-0.0443682627242065,0.0310379276270502
476277,31084,-2,"Los Angeles, CA metro area",metro,2022-01-31,2022-02-27,4 weeks,4578.0,-0.0898608349900595,1144.0,-0.0898965791567223,532.0,-0.362874251497006,133.0,-0.3605769230769231,0.1166077471578783,-0.0504273643361903,836687.5,0.1255254750294265,560.5295581731659,0.1553842852268885,18.2,0.5,182.0,-0.3405797101449274,0.017824662719887,-0.0012500400481604,1212.0,0.0603674540682415,1544.2,-0.0007118358894712,563.0,0.2455752212389381,304.0,0.121771217712177,0.4631880209837561,0.0673731881690352,0.2502819008574505,0.0128805455067721,6433.0,-0.08008008008008,1608.0,-0.0800915331807779,864475.0,0.1227315491364131,565.7297920209579,0.1198718619363761,8634.0,-0.3255741290423371,40893.0,-0.2943155932905363,10223.0,-0.2943328501415062,29.2,-15.0,195.0,-0.2292490118577075,0.0191492203965482,0.0016850582995292,898975.0,0.0161066998219785,577.5082722238997,0.0721946728382543,803875.0,-0.086113645342178,842750.0,-0.0823465360010888,1.0401115085852108,0.0349514805230963,1.0348153947372083,0.0244771991405896,31.5,-8.0,1.0600579144882518,0.1414884405907537,8.96856628252535,-2.7123699526663234,1960.0,-0.1569892473118279,0.0844336344683808,-0.0018810038693789,0.6123654222643437,0.1042442521503731,0.0536593785374934,0.0040438361549791,2022-03-23 17:53:25,0.9697741894928128,189.10596695109848,0.9993249991109896,1143.2277989829722,1.0021647826508209,1611.4809705025195,0.9875543573755576,1196.915881139176,-0.2525455851735236,-0.0905108997748829,-0.0781001312914647,0.0471704996843185
477368,18700,-2,"Corvallis, OR metro area",metro,2022-01-31,2022-02-27,4 weeks,66.0,0.2222222222222223,16.0,0.2307692307692308,4.0,-0.4285714285714286,1.0,0.0,0.0571895424836601,-0.0838818860877684,482250.0,0.117027153546124,269.5742749912572,0.113940790458574,9.1,0.0,3.0,0.5,0.0223062930577017,0.0076856425534608,12.0,0.0909090909090908,1794.7,-0.1476943534216649,5.0,1.5,3.0,0.5,0.4241405653170358,0.2240906152670858,0.2905907817672523,0.113268104444575,75.0,0.5957446808510638,18.0,0.6363636363636364,477254.0,0.1430176754915593,264.52149312523187,0.1168488176581961,116.0,-0.2926829268292683,536.0,-0.2565880721220527,134.0,-0.2555555555555555,36.5,-36.8,2.0,1.0,0.0203473374447748,0.0148496891525964,508675.0,0.2269092980754643,267.32431396554387,0.1908485696435082,425000.0,-0.115872685666736,430000.0,-0.1054711878510505,1.011764705882353,0.0117647058823528,1.0296955259006113,0.0290257667332354,37.2,-21.1,0.7457264957264957,-0.1938568376068375,8.224924585218702,-6.725075414781298,20.0,0.1764705882352941,0.1034482758620689,0.0546677880571909,0.5231271995977878,0.1469367234073115,0.0300718904412592,-0.0044931464792308,2022-03-23 17:53:25,0.8785714285714286,1.7571428571428571,1.0051020408163265,16.081632653061224,1.0044642857142858,18.080357142857142,1.0122448979591836,12.146938775510204,0.7571428571428573,0.237048665620094,0.6436688311688314,0.1042671614100185
